Id,target,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
121998,0,0.011558693,79y,0,4.0,,5,0,0,0,0.0
59014,0,0.002039189,54y,0,0.237556312,9100.0,8,0,1,0,2.0
65288,1,0.239388736,61y,0,2.838053982,3000.0,13,0,5,0,0.0
66662,0,0.020642878,65y,0,0.201485431,5250.0,8,0,1,0,0.0
103356,0,0.0,72y,1,1703.0,,3,0,1,0,0.0
76444,1,0.52090943,29y,0,0.295123726,2747.0,12,0,0,0,0.0
102203,0,0.122848822,76y,0,0.096874393,5150.0,8,0,1,0,1.0
79295,0,0.0,59y,0,6186.0,,14,0,3,0,0.0
23435,0,0.03809763,82y,0,0.15457452,8131.0,11,0,2,0,0.0
113725,1,0.002036527,67y,0,0.081590675,5833.0,7,0,0,0,0.0
59400,0,0.00916079,83y,0,0.005497251,2000.0,2,0,0,0,0.0
29584,0,0.138431305,46y,1,0.484631453,3350.0,17,0,2,0,2.0
54914,0,0.002469377,88y,0,0.0007928119999999,3783.0,5,0,0,0,0.0
93991,0,0.00504453,51y,0,0.528003482,6891.0,10,0,3,1,1.0
4635,0,0.011941036,80y,0,0.007498125,4000.0,4,0,0,0,1.0
137125,0,0.032039495,37y,0,37.0,,4,0,0,0,0.0
91821,0,0.140517653,88y,0,1.017423593,3500.0,15,1,2,0,0.0
12963,0,0.078126512,78y,0,0.011399088,8333.0,6,0,0,0,0.0
89617,0,0.7073045929999999,54y,1,0.541848089,6200.0,17,0,2,0,0.0
100411,0,0.0,42y,0,0.247298055,12490.0,11,0,3,0,4.0
121221,0,0.8883889509999999,37y,0,0.311930682,4500.0,7,0,0,0,0.0
85445,0,0.001535323,76y,0,1119.0,,6,0,1,0,0.0
30145,0,0.003835782,76y,0,0.4224471939999999,8000.0,17,0,2,0,1.0
48524,0,0.182627504,49y,0,0.311243781,5024.0,4,0,1,0,0.0
63671,0,0.3420558079999999,38y,0,0.630157989,15000.0,15,0,4,0,1.0
40112,0,0.103368713,26y,0,25.0,,3,0,0,0,
147501,0,0.025155464,77y,0,0.002514142,9545.0,8,0,0,0,0.0
132914,0,0.03390962,64y,0,0.205970149,11054.0,11,0,1,0,0.0
111687,0,0.031660564,67y,0,0.347076462,1333.0,8,0,0,0,0.0
132872,0,0.363587416,42y,0,0.307935208,17100.0,11,0,2,0,2.0
103547,0,0.688118406,49y,0,0.367098865,7403.0,10,0,0,0,0.0
61553,0,0.012213008,38y,0,0.0091647569999999,4800.0,8,0,0,0,0.0
97283,0,0.082952915,44y,0,868.0,,8,0,0,0,2.0
135195,0,0.0,45y,0,0.107102411,6180.0,4,0,0,0,1.0
144007,1,0.894736842,30y,2,40.0,,3,0,0,0,0.0
73162,0,0.0,81y,0,0.0,,2,0,0,0,
28502,0,0.575475628,36y,0,0.263065179,5108.0,6,0,0,0,0.0
26941,1,0.325189035,53y,0,0.344196034,7916.0,6,0,1,0,2.0
92972,0,0.023598785,50y,0,1626.0,,7,0,1,0,0.0
34261,0,0.000153822,33y,0,0.324120122,10455.0,7,0,3,0,2.0
49759,0,0.490925345,34y,0,0.267189663,4333.0,6,0,0,0,3.0
43002,0,0.242039741,38y,0,0.394555645,6244.0,7,0,1,0,3.0
121112,0,0.907780705,51y,0,0.775726811,6500.0,11,0,1,0,1.0
120457,0,0.5711681679999999,52y,2,0.324540368,1250.0,7,0,0,0,0.0
129159,0,0.069751696,79y,0,1051.0,,13,0,2,0,0.0
89619,0,0.131363788,59y,0,0.270178005,4100.0,10,0,2,0,0.0
89936,0,0.9999999,58y,1,0.0527923209999999,4583.0,4,0,0,1,0.0
44982,0,0.6863220409999999,37y,0,0.3609704079999999,3750.0,7,0,2,0,0.0
54677,0,0.202134491,40y,0,0.455151427,6900.0,5,0,2,0,2.0
49269,0,0.004266294,72y,0,0.005163043,3679.0,23,0,0,0,1.0
122734,0,0.307969692,53y,1,0.936531734,2000.0,10,0,1,0,0.0
131744,0,0.59045152,54y,1,1267.0,0.0,7,0,1,0,1.0
55953,0,0.717531299,46y,0,0.25440636,13332.0,9,0,2,0,0.0
64194,0,0.118458769,37y,0,0.267629095,1800.0,5,0,0,0,2.0
142846,0,0.0596234079999999,50y,0,0.12908778,12200.0,8,0,2,0,1.0
60858,0,0.0,48y,0,0.2419257769999999,4984.0,7,0,1,0,1.0
105496,0,0.102314389,50y,0,1225.0,,10,0,1,0,0.0
66907,0,0.017255571,39y,0,0.163528977,5417.0,4,0,1,0,0.0
120307,0,0.008600455,69y,0,0.262361524,3700.0,11,0,1,0,1.0
22258,0,0.300365108,48y,0,0.402525876,10530.0,15,0,2,0,3.0
88896,0,0.1897953269999999,41y,3,0.377515703,7800.0,9,0,2,0,0.0
91278,0,0.128746856,58y,0,0.207251793,9900.0,13,0,2,0,3.0
73701,1,0.9999999,34y,1,0.390881216,7500.0,5,0,1,0,1.0
22429,0,0.6302476029999999,60y,0,1.364513018,3110.0,14,0,2,0,0.0
28855,0,0.136954431,68y,0,0.533068305,8300.0,13,0,3,0,2.0
1492,0,0.198454901,51y,0,0.2461606939999999,4492.0,7,0,1,0,2.0
20521,0,0.0171995089999999,61y,0,0.003042082,5916.0,5,0,0,0,0.0
28545,0,0.006617067,81y,0,0.003907638,5629.0,11,0,0,0,1.0
46067,0,0.07506363,64y,0,173.0,0.0,14,0,0,0,0.0
106719,0,0.279554504,57y,0,0.658669226,3125.0,12,0,1,0,0.0
66915,0,0.256149619,42y,1,0.1199365719999999,6936.0,4,0,0,0,1.0
83793,0,0.020514898,78y,0,38.0,,5,0,0,0,0.0
29305,0,0.335116663,67y,2,0.30598723,8300.0,12,0,1,0,0.0
53852,0,0.147382684,34y,0,0.324014071,5400.0,15,0,1,0,0.0
86555,0,0.112090211,62y,0,0.124897558,6100.0,6,0,1,0,0.0
31703,0,0.0,70y,0,0.85159263,7000.0,8,0,3,0,0.0
75477,0,0.070532158,76y,0,0.313336092,7250.0,12,0,1,0,0.0
94859,0,0.260423551,29y,0,0.105032823,5483.0,8,0,0,0,0.0
25356,0,0.143181255,55y,0,0.378243275,4200.0,12,0,3,0,0.0
104924,0,0.0,42y,0,0.0,1855.0,2,0,0,0,0.0
110347,0,0.9999999,53y,1,1239.0,,6,0,0,1,0.0
69121,0,0.0,34y,2,1.04565145,3000.0,8,0,1,0,2.0
43978,0,0.062336273,58y,0,0.427331606,7719.0,24,0,3,0,0.0
130638,0,0.0,53y,0,0.298703328,6400.0,6,0,1,0,0.0
92995,0,0.158221705,47y,1,3938.0,,7,2,2,0,0.0
146966,0,0.006975968,42y,0,0.233304042,2275.0,13,0,0,0,0.0
149749,1,0.579052342,47y,0,8.666666667000001,521.0,5,0,1,0,0.0
97776,0,0.149750347,42y,0,0.162141893,20000.0,11,1,1,0,4.0
18385,0,0.278904522,37y,0,2161.0,,7,0,2,0,0.0
116285,0,0.031225135,80y,0,42.0,0.0,3,0,0,0,0.0
111208,0,0.008361182,77y,0,343.0,0.0,14,0,0,0,0.0
52058,0,0.007853275,44y,0,15070.0,,10,0,7,0,1.0
88296,0,0.157050614,27y,0,0.206269877,2200.0,3,0,0,0,0.0
95393,0,0.068527282,63y,0,0.2775891339999999,5889.0,6,0,1,0,0.0
82186,1,0.570408455,49y,0,596.0,,1,3,0,0,0.0
73702,0,0.201387923,65y,0,0.046734572,8344.0,8,0,0,0,0.0
51385,0,0.449634822,54y,0,0.187165461,17000.0,6,0,2,0,3.0
31761,1,0.9999999,54y,0,16.0,,0,2,0,1,0.0
149070,0,0.490772195,30y,0,0.302332626,3300.0,10,0,0,0,0.0
87105,0,0.0,61y,0,0.20214432,8300.0,4,0,1,0,0.0
114974,0,0.0,53y,0,2390.0,,5,0,1,0,0.0
100751,0,0.66190274,64y,0,0.272242586,3000.0,3,0,0,0,0.0
39583,0,0.681478308,34y,0,0.4167583239999999,10000.0,18,0,2,0,0.0
146350,0,0.023082172,59y,0,0.091580502,8800.0,17,0,0,0,1.0
21141,0,0.756587855,51y,3,0.184788431,5600.0,14,0,0,0,0.0
8304,0,0.17546618,52y,0,0.4634896229999999,1300.0,4,0,0,0,0.0
19536,0,0.4301113729999999,57y,0,3378.0,,18,0,2,0,2.0
106198,0,0.263336114,48y,0,0.371611497,7340.0,16,0,2,0,3.0
88339,0,0.0,33y,0,2887.0,,5,0,1,0,0.0
106650,0,0.310437411,50y,0,0.321744561,9606.0,7,0,2,0,1.0
59627,0,0.648470627,53y,1,0.274200879,6600.0,9,0,1,0,1.0
58554,0,0.080257236,75y,1,0.45821266,4833.0,11,0,1,0,1.0
3350,0,0.157536985,44y,1,1322.0,,4,0,1,0,0.0
16683,0,0.544824933,61y,0,1591.0,,4,0,1,0,
9935,0,0.106826571,61y,0,0.242064551,7497.0,6,0,1,0,0.0
134118,0,0.134074637,44y,0,0.4452941179999999,6799.0,13,0,2,0,0.0
117682,0,0.055685288,54y,0,0.643365463,11100.0,11,0,2,0,0.0
60415,0,0.0548848,47y,0,0.740209965,6000.0,7,0,2,0,0.0
99587,0,0.0,48y,0,1.633733239,2833.0,5,0,1,0,2.0
67001,0,0.251433891,40y,0,0.234161007,8980.0,9,0,0,0,0.0
127290,0,0.185765261,79y,0,260.0,,5,0,0,0,0.0
90822,0,0.812920592,50y,0,0.155628345,12516.0,8,0,1,0,2.0
69700,0,0.64678816,45y,3,3802.0,,12,0,1,0,0.0
143765,0,0.6989381640000001,38y,0,0.324912281,1424.0,3,0,0,0,2.0
25246,0,0.245380188,25y,0,0.057320595,4500.0,4,0,0,0,0.0
27491,0,0.012832276,77y,0,0.2694316439999999,3254.0,5,0,0,0,0.0
63658,0,0.232798438,68y,0,0.4676546689999999,4250.0,6,0,2,0,0.0
72471,0,0.231171408,52y,0,0.631618475,7988.0,17,0,2,0,4.0
121319,0,0.013437889,63y,0,0.041113131,7150.0,16,0,0,0,1.0
103346,0,0.0310144129999999,72y,0,0.002571184,10500.0,9,0,0,0,0.0
131312,0,0.164278574,41y,0,0.226591136,3000.0,6,0,0,0,0.0
100464,0,0.363963604,42y,0,0.20769317,8916.0,4,0,1,0,0.0
50299,0,0.0,63y,0,1978.0,,9,0,1,0,0.0
148728,0,0.8263162209999999,50y,0,0.262595185,13000.0,9,0,2,0,2.0
84237,0,0.0,28y,0,0.0,1500.0,2,0,0,0,0.0
13077,0,0.176149892,63y,1,0.540517727,3553.0,12,0,2,0,0.0
32195,0,0.908618276,28y,0,0.548472776,2258.0,5,0,0,0,0.0
57802,0,0.054432416,68y,0,0.162174579,6529.0,4,0,1,0,0.0
96946,0,0.598180901,53y,0,4541.0,,14,0,2,0,2.0
57775,0,0.266571846,40y,0,0.294397715,6300.0,14,0,2,0,2.0
122372,0,0.954587102,44y,0,0.4573494999999999,4700.0,8,0,0,0,0.0
58757,0,0.121639038,40y,0,0.375082399,4550.0,5,0,0,0,0.0
9521,0,0.0446703,54y,0,0.272220794,11666.0,7,0,2,0,2.0
126868,0,0.015803293,46y,0,0.254588867,6700.0,6,0,1,0,1.0
25630,0,0.7284089490000001,64y,1,0.187562488,5000.0,8,0,0,0,0.0
16119,0,0.446943776,55y,0,0.330516829,7100.0,9,0,1,0,2.0
97635,0,0.009886819,38y,0,1433.0,,9,0,1,0,0.0
15863,0,0.329185269,48y,0,0.240221356,7950.0,10,0,2,0,0.0
72318,0,0.175620398,40y,1,0.520397033,9167.0,7,0,3,0,0.0
40418,1,0.9999999,63y,0,0.0,1714.0,0,0,0,0,2.0
26691,0,0.021458314,66y,0,0.533183352,8000.0,10,0,3,0,0.0
67535,0,0.978907188,44y,2,0.522067439,7680.0,14,0,2,0,4.0
65742,0,0.145722822,64y,0,0.170765847,5000.0,12,0,1,0,2.0
17369,0,0.753807694,43y,0,0.23320192,11667.0,8,0,1,0,2.0
63665,0,0.191490425,33y,0,115.0,,2,0,0,0,0.0
63749,0,0.009480641,86y,0,880.0,,3,0,1,0,0.0
72297,0,0.030310537,60y,0,0.8745164409999999,4135.0,11,0,2,0,1.0
14481,0,0.9999999,33y,0,1054.0,,4,0,0,0,0.0
127674,0,0.010999633,79y,0,0.4778931179999999,2600.0,8,0,1,0,0.0
117798,0,0.201210571,39y,1,0.207975532,8500.0,14,0,0,0,1.0
112975,0,0.274204505,82y,0,0.4061396779999999,6514.0,13,0,3,0,0.0
137977,0,0.5349628160000001,60y,1,0.841860465,4084.0,13,0,2,0,0.0
90422,0,0.0147559589999999,50y,0,0.117022936,6408.0,4,0,1,0,2.0
5516,0,0.343393987,30y,0,1702.0,,10,0,1,0,0.0
63045,1,0.9999999,58y,0,0.0,3100.0,0,1,0,0,4.0
128725,0,0.002230598,46y,0,1050.0,,4,0,1,0,2.0
38065,0,0.907339511,36y,0,0.6192724239999999,3600.0,9,0,0,0,0.0
11542,0,0.0,71y,0,0.086277497,10500.0,12,0,1,0,0.0
19560,0,0.376145579,48y,0,0.374750033,7500.0,15,0,2,0,1.0
71749,0,0.04827671,50y,0,1707.0,,4,0,1,0,0.0
13986,0,0.0,43y,0,0.228295284,6000.0,9,0,2,0,0.0
103457,0,0.626079131,69y,0,1.305218447,1647.0,8,0,2,0,0.0
112386,0,0.19999525,58y,1,0.6256115720000001,4700.0,11,0,1,0,0.0
86729,0,0.019469166,32y,0,0.005999,6000.0,5,0,0,0,0.0
119077,0,0.314831109,37y,0,6467.0,,22,0,1,0,0.0
63062,0,0.8005571859999999,50y,0,3.527060783,1200.0,12,0,2,0,2.0
15393,0,0.001776366,61y,0,6.5,1.0,19,0,0,0,0.0
122260,0,0.146071342,61y,0,0.533847472,3500.0,7,0,1,0,0.0
82241,0,0.042564574,71y,0,0.244060475,8333.0,3,0,1,0,0.0
29066,0,0.102438753,45y,0,2894.0,,6,0,1,0,1.0
74544,0,0.9999999,24y,0,0.072407045,510.0,0,2,0,0,1.0
76532,0,0.35414965,45y,1,0.3481352129999999,8016.0,9,0,1,0,0.0
48836,0,0.381926952,50y,2,0.385516355,7000.0,8,0,2,0,2.0
36346,0,0.346079615,48y,0,0.550514849,6700.0,19,0,2,0,2.0
121947,0,0.021147946,67y,0,0.005426357,3869.0,5,0,0,0,0.0
49427,0,1.008713663,55y,0,0.295617397,6000.0,3,0,2,0,1.0
25535,1,1.0184795,61y,3,0.932115527,4050.0,16,0,2,1,1.0
43158,0,0.009527042,50y,0,0.248256053,4873.0,10,0,1,0,4.0
28622,0,0.054654142,40y,0,0.441258638,6800.0,7,0,1,0,2.0
15002,0,0.9999999,71y,0,2.628306878,755.0,3,0,2,0,0.0
82945,0,0.14875246,35y,0,1763.0,,9,0,1,0,3.0
90708,0,0.8387634359999999,45y,0,0.410603868,7600.0,6,0,1,0,0.0
35032,0,0.249461748,26y,0,0.882352941,764.0,4,0,0,0,0.0
81560,0,0.7607370809999999,53y,0,5264.0,0.0,20,0,2,0,0.0
112735,0,0.603556607,50y,0,0.290203182,12697.0,4,0,1,0,2.0
71703,0,0.015941567,33y,0,0.654896736,1500.0,8,0,2,0,2.0
94832,0,0.285573565,46y,0,0.1881539789999999,10416.0,6,0,1,0,3.0
83212,0,0.120033976,38y,0,0.454807231,6250.0,11,0,2,0,1.0
80838,0,0.0,64y,0,0.218415418,1400.0,3,0,0,0,0.0
18243,0,0.9999999,50y,0,0.285714286,8833.0,4,0,1,0,2.0
108507,0,0.9999999,67y,0,578.0,,6,0,0,0,0.0
9812,0,0.372695987,61y,0,5782.0,,15,0,4,0,0.0
46511,0,0.3391630229999999,25y,0,0.023359288,898.0,3,0,0,0,0.0
128316,0,0.9999999,32y,0,0.0,4400.0,0,2,0,0,0.0
148735,0,0.4378259229999999,52y,0,0.280786536,6000.0,8,0,1,0,0.0
17950,0,0.943568096,90y,0,0.1744548289999999,1604.0,2,0,0,0,0.0
89994,0,0.053901145,57y,0,0.047264134,5500.0,5,0,0,0,0.0
66620,0,0.0,40y,0,0.3537646239999999,10000.0,5,0,1,0,0.0
50095,0,0.0029771809999999,49y,0,0.159735268,34600.0,14,0,3,0,3.0
16836,0,0.080851687,52y,0,2189.0,,6,0,1,0,2.0
75139,0,0.618732896,68y,0,0.534500202,9883.0,13,0,2,0,0.0
136033,0,0.1499655,66y,0,0.038351556,5944.0,8,0,0,0,0.0
34849,0,0.145503096,61y,0,0.02584155,2940.0,3,0,0,0,2.0
103615,0,0.0,35y,0,0.407518496,5000.0,6,0,1,0,0.0
4349,0,0.135586362,41y,0,0.224106231,4894.0,13,0,0,0,0.0
2615,0,0.021279149,35y,0,1292.0,,6,0,1,0,0.0
114726,0,0.565134852,48y,3,1.105498214,10075.0,11,0,4,0,0.0
41876,0,0.02659283,76y,0,0.1949721469999999,7000.0,18,0,1,0,0.0
147567,0,0.309448301,84y,1,0.433313337,5000.0,10,0,0,0,0.0
58111,0,0.2405283919999999,35y,0,0.168548842,7083.0,5,0,1,0,0.0
103484,1,1.114628457,56y,2,1.334486736,2600.0,6,1,1,1,0.0
50674,0,0.1903535569999999,65y,0,0.480427691,5517.0,12,0,2,0,0.0
71388,0,0.622271685,45y,0,2243.0,0.0,6,0,2,0,3.0
85224,0,0.052720447,50y,0,95.0,,5,0,0,0,
43871,0,0.654244355,46y,0,3507.0,,16,0,2,0,2.0
1480,0,0.9999999,36y,0,0.082448854,6500.0,6,0,0,0,1.0
133965,0,0.139236091,32y,0,0.359475082,6400.0,11,0,2,0,0.0
25770,0,0.9999999,24y,98,0.0,,0,98,0,98,
99064,0,0.421201868,51y,1,0.64381068,6591.0,20,1,2,0,0.0
133432,0,0.9999999,45y,0,0.269949066,2355.0,4,0,0,0,3.0
48883,0,0.089335902,52y,0,0.538243626,6000.0,18,0,2,0,2.0
78325,0,0.245979163,60y,0,0.4906937389999999,6500.0,18,0,2,0,2.0
98747,0,0.0,51y,0,1936.0,,2,0,1,0,1.0
146903,0,0.000199,63y,0,0.472870284,7500.0,10,0,2,0,0.0
97125,0,0.0,57y,0,0.034793041,5000.0,8,0,0,0,2.0
8883,0,0.0,61y,0,0.0,2500.0,8,0,0,0,0.0
47521,1,0.891435034,47y,0,2131.0,,17,0,2,0,0.0
26145,0,0.0,75y,0,1.0,,3,0,0,0,0.0
24760,0,0.03229677,59y,0,0.000857061,10500.0,3,0,0,0,0.0
112675,0,0.0150202139999999,76y,0,767.0,,11,0,1,0,0.0
124769,0,0.004866446,50y,0,1660.0,,6,0,1,0,0.0
113641,0,0.15082286,63y,0,0.2309968369999999,9800.0,7,0,2,0,1.0
139229,0,0.039372949,78y,0,22.0,,4,0,0,0,0.0
142221,0,0.069921686,59y,1,0.455596011,6316.0,10,0,3,0,0.0
61541,0,0.001866542,88y,0,0.0,,2,0,0,0,0.0
126709,1,0.9999999,69y,1,0.230265426,2900.0,4,2,1,3,0.0
16060,0,0.47961062,58y,0,0.7503191220000001,3916.0,11,0,1,0,0.0
60824,0,0.04439863,64y,0,0.024450634,3230.0,16,0,0,0,2.0
120202,0,0.016763582,70y,0,0.200861273,3250.0,8,0,1,0,0.0
116638,0,0.1493551119999999,54y,1,4061.0,,23,0,2,0,0.0
32877,0,0.309467297,73y,0,0.496583903,6000.0,13,0,2,1,0.0
1176,0,0.109278443,54y,0,1370.0,,5,0,1,0,0.0
113687,0,0.289759556,38y,0,0.748961698,2166.0,9,0,1,0,1.0
26607,0,0.304529513,62y,2,0.31556148,3000.0,13,0,1,1,0.0
140140,1,1.03996004,23y,1,0.185876083,1500.0,2,0,0,0,0.0
111049,0,0.012140214,41y,0,0.592437739,5500.0,17,0,3,0,2.0
95279,0,0.00061222,91y,0,3.0,,6,0,0,0,
149434,0,0.019855725,31y,0,0.106094808,3100.0,6,0,0,0,1.0
137770,0,0.165977203,49y,0,0.487172706,3780.0,9,0,1,0,2.0
133617,0,0.00517834,46y,4,613.0,,5,0,1,0,
83203,0,0.030805169,58y,0,0.416046716,12500.0,13,0,4,0,0.0
131267,0,0.668744375,34y,0,0.2331533689999999,5000.0,7,0,0,0,0.0
54107,0,0.977804439,63y,0,147.0,,1,0,0,0,
112714,0,0.455809932,32y,0,1.368157286,2593.0,6,0,1,0,0.0
97401,0,0.40237512,54y,0,0.4484205879999999,4526.0,13,0,1,0,1.0
86927,0,0.1765615189999999,44y,1,0.2267700939999999,6058.0,6,0,2,0,2.0
117854,0,0.962379554,58y,0,0.271226415,8903.0,7,0,2,0,0.0
46335,0,0.0907222469999999,47y,0,0.171527199,8400.0,8,0,1,0,2.0
76977,0,0.484156607,70y,0,0.5378592670000001,10089.0,16,0,3,0,0.0
46916,0,0.04107391,56y,0,0.272908849,16521.0,10,0,1,0,0.0
92253,0,0.569721514,38y,0,0.469927703,6500.0,5,0,2,0,2.0
133134,0,0.948471448,61y,0,0.40397351,7700.0,7,0,1,1,0.0
5461,0,0.035288396,59y,0,0.725631769,830.0,17,0,0,0,0.0
89035,0,0.94615055,48y,0,1.4415584419999998,1000.0,7,0,0,0,0.0
47655,0,0.029419293,57y,0,50.0,,4,0,0,0,0.0
96416,1,0.391733982,30y,1,0.212210251,6125.0,12,0,0,0,0.0
125934,0,0.0056278019999999,79y,0,0.232602845,2600.0,15,0,0,0,0.0
131228,0,0.2782445389999999,55y,0,0.420881293,8600.0,10,0,1,0,0.0
119997,0,0.541830887,68y,0,0.184110971,9515.0,22,0,1,0,0.0
141022,0,0.007395005,64y,0,0.149706707,3920.0,4,0,1,0,1.0
102529,0,0.0017059579999999,54y,0,0.153808146,14166.0,8,0,1,0,1.0
32727,0,0.097146137,75y,0,0.261469265,3334.0,20,0,1,0,0.0
92947,0,0.047737672,79y,0,0.020865936,3833.0,4,0,0,0,0.0
50692,0,0.0029265909999999,63y,0,1.0,,2,0,0,0,
90153,0,1.285714286,28y,1,0.158436837,3300.0,5,0,0,0,2.0
22266,0,0.001839331,81y,0,0.000740466,2700.0,3,0,0,0,0.0
16205,0,0.081076577,57y,0,0.219032675,10833.0,5,0,1,0,1.0
122284,0,0.0278634829999999,65y,0,0.230838299,12250.0,13,0,2,0,0.0
72941,0,0.00879425,44y,0,0.345763338,5416.0,12,0,1,0,0.0
139873,0,0.000932177,45y,0,0.0,,5,0,0,0,0.0
106373,0,0.0979477169999999,65y,0,0.187591885,3400.0,7,0,2,0,0.0
126878,0,0.882235529,35y,0,0.111271975,4834.0,3,0,0,2,0.0
120250,0,0.625747299,49y,0,0.81272909,3000.0,7,0,1,0,3.0
66054,0,0.011844002,60y,0,0.176393903,9971.0,8,0,2,0,1.0
31402,0,0.86980671,39y,0,0.304770066,3500.0,7,0,1,0,0.0
