ID,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,target
4300,0.04,0.34,0.01,0.71,0.01,0.3,0.03,0.01,0.57,0.0,0.005,0.065,15.53,0.29,0.008,3.72,3.58,0.03,0.1,0.03,0
3780,0.1,3.66,0.76,2.52,0.06,0.53,0.4,0.1,0.14,0.44,0.008,0.155,6.65,1.44,0.01,25.1,1.05,0.02,0.43,0.02,0
6243,0.07,18.07,0.09,0.46,0.05,0.22,0.03,0.8,1.28,0.93,0.93,0.184,10.89,1.46,0.003,3.69,0.74,0.09,0.03,0.09,0
3421,0.09,11.69,1.02,3.62,0.07,4.7,0.73,0.91,0.65,0.51,0.51,0.023,16.8,1.8,0.006,26.38,5.65,0.03,0.31,0.03,0
2806,0.03,11.07,0.05,1.02,0.005,6.1,0.2,1.13,1.34,0.48,0.003,0.162,1.99,1.45,0.008,22.66,3.71,0.03,0.0,0.07,0
4287,0.09,1.65,0.05,0.2,0.06,0.06,0.07,0.06,1.29,0.0,0.56,0.026,17.08,0.39,0.002,9.58,0.61,0.02,0.08,0.08,0
3995,0.09,28.4,0.59,3.96,0.01,3.99,0.63,0.09,1.37,0.31,0.002,0.197,14.15,1.2,0.005,16.29,2.13,0.09,0.05,0.03,0
5158,0.05,27.95,0.07,2.87,0.07,0.24,0.07,0.52,0.22,0.0,0.69,0.064,13.53,0.56,0.004,2.9,5.62,0.03,0.04,0.07,0
1904,3.31,22.13,0.3,2.84,0.06,0.29,0.77,1.26,0.04,0.46,0.007,0.046,11.93,1.65,0.007,34.76,2.06,0.1,0.07,0.07,0
4297,0.07,3.66,0.04,0.75,0.02,0.09,0.08,0.01,0.83,0.0,0.68,0.153,4.98,0.33,0.009,1.64,2.65,0.05,0.03,0.05,0
5560,0.06,22.91,0.01,1.67,0.01,0.16,0.09,1.34,0.5,0.86,0.86,0.087,14.29,0.25,0.007,8.06,3.7,0.01,0.04,0.05,0
7596,0.0,0.14,0.03,1.02,0.06,0.02,0.02,1.64,0.29,0.0,0.0,0.177,14.86,1.77,0.005,0.68,1.01,0.05,0.03,0.04,0
6784,0.04,9.29,0.06,0.2,0.08,0.29,0.01,1.36,0.31,0.84,0.84,0.1,14.65,1.18,0.004,7.21,0.67,0.03,0.08,0.06,0
1654,4.79,18.72,0.9,2.6,0.01,2.72,0.82,0.51,0.92,0.14,0.006,0.072,2.15,1.6,0.01,45.06,7.31,0.06,0.42,0.06,0
6972,0.03,22.88,0.01,0.16,0.01,0.11,0.0,1.82,0.02,0.22,0.008,0.017,13.82,1.73,0.001,0.56,0.35,0.0,0.1,0.06,0
6455,0.07,14.21,0.07,1.66,0.07,0.07,0.04,0.16,1.01,0.76,0.76,0.168,17.85,1.01,0.009,0.45,1.44,0.07,0.0,0.0,0
3155,0.1,16.67,0.32,2.53,0.01,0.1,0.03,0.04,1.16,0.51,0.51,0.044,5.82,2.46,0.006,14.44,3.72,0.04,0.14,0.08,0
5875,0.04,1.49,0.05,0.07,0.03,0.37,0.07,1.69,1.37,0.93,0.93,0.161,3.02,0.61,0.009,2.92,0.5,0.04,0.02,0.01,0
7073,0.03,6.9,0.02,0.41,0.04,0.05,0.05,0.18,0.13,0.79,0.79,0.132,9.56,1.9,0.006,1.7,3.38,0.0,0.07,0.06,0
3200,0.04,11.54,0.79,2.93,0.11,6.86,0.09,1.18,0.88,0.28,0.001,0.032,3.58,1.91,0.003,53.2,7.46,0.06,0.03,0.07,0
5933,0.07,7.81,0.08,0.34,0.05,0.05,0.0,1.97,0.08,0.69,0.69,0.184,7.97,0.94,0.003,9.67,3.62,0.01,0.06,0.07,0
436,0.63,24.98,0.02,3.51,0.003,5.61,0.58,0.77,0.79,0.37,0.001,0.147,0.83,1.92,0.006,28.58,0.09,0.02,0.37,0.06,1
7422,0.01,5.43,0.04,1.33,0.08,0.01,0.0,1.65,0.8,0.54,0.54,0.163,11.16,1.77,0.008,0.1,0.71,0.01,0.08,0.0,0
5105,0.04,6.41,0.04,0.82,0.02,0.09,0.03,0.05,1.21,0.0,0.001,0.015,2.29,0.13,0.001,3.45,3.77,0.09,0.03,0.01,1
5678,0.06,18.34,0.06,0.38,0.01,0.07,0.03,1.58,0.96,0.31,0.009,0.057,8.37,0.37,0.006,3.43,4.39,0.07,0.02,0.07,0
1913,1.55,9.81,0.07,3.58,0.12,3.4,0.09,1.52,1.02,0.39,0.002,0.071,18.11,2.14,0.003,0.07,1.4,0.04,0.41,0.02,0
4375,0.03,2.71,0.05,0.37,0.09,0.31,0.01,0.04,1.08,0.0,0.001,0.189,6.67,1.0,0.007,3.61,0.14,0.1,0.08,0.0,0
4027,0.01,14.4,0.0,0.88,0.04,0.14,0.05,0.06,0.26,0.0,0.69,0.182,1.49,0.34,0.008,4.05,0.63,0.01,0.09,0.05,0
1870,4.84,21.94,0.79,1.97,0.13,7.46,0.89,0.95,1.0,0.75,0.75,0.119,9.33,1.26,0.009,29.26,2.38,0.09,0.24,0.02,0
7002,0.01,10.39,0.04,0.27,0.1,0.59,0.02,1.66,1.08,0.71,0.71,0.016,1.75,1.43,0.004,1.64,0.19,0.02,0.04,0.05,0
2252,0.18,12.12,0.04,1.81,0.001,7.02,0.63,0.29,1.43,0.75,0.75,0.166,13.05,1.66,0.006,16.39,6.81,0.08,0.49,0.07,0
6083,0.09,9.98,0.08,0.51,0.08,0.39,0.02,0.52,0.32,0.31,0.002,0.11,3.55,1.79,0.0,0.44,0.97,0.01,0.03,0.02,0
337,4.53,23.34,0.04,3.39,0.002,2.67,0.46,0.4,0.88,0.59,0.59,0.118,6.4,1.63,0.003,36.62,1.75,0.02,0.23,0.06,0
5253,0.08,26.71,0.09,0.99,0.1,0.5,0.06,1.69,0.96,0.0,0.001,0.021,14.15,0.89,0.005,1.63,0.71,0.01,0.05,0.01,0
6369,0.04,19.45,0.07,0.24,0.05,0.26,0.01,1.91,0.96,0.14,0.002,0.132,16.05,1.09,0.01,5.94,0.27,0.02,0.04,0.02,0
5740,0.06,5.22,0.04,0.2,0.03,0.08,0.03,0.03,0.15,0.09,0.0,0.165,17.06,0.56,0.003,0.15,0.18,0.01,0.01,0.0,0
5847,0.04,19.88,0.08,3.36,0.08,0.09,0.05,1.23,0.51,0.57,0.57,0.176,4.4,0.2,0.001,5.49,2.67,0.02,0.01,0.05,0
7657,0.02,13.85,0.07,1.98,0.03,0.38,0.1,1.5,1.01,0.0,0.0,0.131,18.67,1.81,0.003,3.65,0.26,0.06,0.02,0.05,0
6731,0.02,10.42,0.04,2.48,0.09,0.2,0.0,0.07,0.73,0.06,0.001,0.157,10.83,1.84,0.006,3.33,0.1,0.03,0.0,0.04,0
6947,0.01,14.05,0.06,0.94,0.03,0.07,0.09,1.23,1.01,0.6,0.6,0.04,11.89,1.73,0.007,9.75,3.62,0.02,0.04,0.01,0
514,3.52,27.71,0.02,1.8,0.001,7.3,0.55,1.32,0.59,0.18,0.008,0.122,15.67,1.97,0.009,6.43,5.57,0.04,0.03,0.05,1
3826,0.02,9.46,0.14,1.04,0.03,5.81,0.64,0.01,1.05,0.56,0.56,0.174,13.88,1.96,0.006,12.52,4.39,0.06,0.34,0.07,0
4053,0.08,8.42,0.09,0.4,0.04,0.01,0.02,0.04,0.9,0.0,0.58,0.093,10.16,0.22,0.003,0.24,3.4,0.05,0.1,0.05,0
230,1.98,1.5,0.001,3.69,0.005,3.62,0.79,1.37,0.62,0.92,0.92,0.112,8.13,1.6,0.007,47.78,4.38,0.05,0.29,0.05,1
2725,0.11,10.48,0.04,3.79,0.001,5.65,0.69,1.59,0.21,0.35,0.003,0.016,4.94,1.48,0.001,39.06,7.51,0.04,0.4,0.01,0
3461,0.03,15.36,0.68,1.22,0.05,4.35,0.19,0.28,1.16,0.85,0.85,0.005,10.87,1.38,0.005,9.67,1.46,0.09,0.23,0.08,0
2681,0.18,6.26,0.01,3.59,0.004,2.51,0.11,0.86,1.31,0.15,0.009,0.046,4.27,1.37,0.008,18.38,5.37,0.02,0.21,0.0,0
2132,0.01,21.58,0.04,2.9,0.006,5.65,0.08,0.35,1.43,0.71,0.71,0.061,17.79,1.04,0.004,6.89,2.9,0.05,0.46,0.03,0
3230,0.32,1.4,0.96,4.02,0.12,3.78,0.79,1.37,0.62,0.92,0.92,0.112,8.52,1.92,0.007,2.01,4.38,0.05,0.29,0.05,0
6755,0.03,6.6,0.08,1.48,0.07,0.02,0.05,1.93,0.18,0.49,0.008,0.04,6.22,1.65,0.007,1.12,0.76,0.04,0.03,0.06,0
129,4.07,10.36,0.01,3.29,0.003,0.41,0.39,0.55,1.27,0.61,0.61,0.087,16.37,1.1,0.009,53.02,2.53,0.09,0.37,0.05,0
949,3.68,10.66,0.03,3.87,0.007,3.53,0.66,0.82,0.57,0.0,0.0,0.023,2.96,1.55,0.007,4.46,3.29,0.03,0.13,0.06,1
5185,0.01,18.62,0.01,0.81,0.05,0.49,0.02,1.04,1.19,0.0,0.001,0.079,8.6,0.08,0.008,2.4,2.16,0.03,0.03,0.0,1
5431,0.04,19.77,0.08,0.36,0.04,0.45,0.01,0.78,1.5,0.0,0.0,0.004,7.38,0.14,0.002,3.13,3.51,0.09,0.09,0.02,1
7250,0.06,12.05,0.03,0.63,0.06,0.09,0.07,1.76,0.63,0.91,0.91,0.139,6.89,1.87,0.007,3.21,1.03,0.05,0.04,0.06,0
1908,1.17,24.27,0.24,0.99,0.11,5.13,0.36,1.43,0.63,0.59,0.59,0.146,2.52,1.42,0.008,45.05,1.68,0.07,0.37,0.07,0
7636,0.04,9.41,0.07,0.16,0.08,0.03,0.1,1.26,0.34,0.0,0.0,0.093,8.54,1.79,0.007,0.68,1.33,0.05,0.01,0.04,0
1567,1.0,16.66,0.19,2.34,0.07,0.41,0.65,1.82,0.56,0.0,0.95,0.154,17.34,1.51,0.004,17.17,0.06,0.07,0.32,0.05,0
418,2.04,22.26,0.03,1.79,0.005,5.98,0.7,1.92,1.36,0.94,0.94,0.128,7.67,1.54,0.008,24.13,0.85,0.07,0.36,0.03,1
1631,1.99,15.7,0.07,2.57,0.06,2.16,0.81,0.13,0.8,0.69,0.69,0.104,9.24,1.72,0.004,39.59,3.4,0.09,0.26,0.05,0
7044,0.1,0.41,0.01,0.03,0.01,0.38,0.08,1.71,1.42,0.27,0.002,0.103,16.9,1.36,0.006,10.49,0.57,0.07,0.06,0.0,0
928,0.6,27.18,0.04,2.87,0.008,5.24,0.42,1.92,1.44,0.0,0.0,0.154,2.17,1.87,0.007,46.97,6.71,0.01,0.46,0.05,0
6292,0.05,0.17,0.03,0.65,0.0,0.08,0.03,0.14,0.77,0.24,0.003,0.062,13.59,1.98,0.005,12.11,0.98,0.08,0.06,0.08,0
4403,0.03,12.23,0.1,0.23,0.05,0.05,0.03,0.09,0.88,0.0,0.002,0.167,9.14,0.98,0.008,3.69,1.15,0.1,0.05,0.04,0
6948,0.04,10.12,0.07,1.43,0.02,0.23,0.05,0.82,0.57,0.82,0.82,0.023,2.96,1.55,0.007,0.19,0.86,0.03,0.02,0.06,0
1611,0.8,9.64,0.82,0.96,0.12,4.65,0.66,0.01,0.56,0.0,0.002,0.001,16.19,1.45,0.003,59.72,3.36,0.05,0.04,0.08,0
2666,0.15,18.95,0.03,2.87,0.007,6.86,0.81,0.06,0.78,0.89,0.89,0.09,17.23,1.69,0.004,3.38,7.69,0.01,0.41,0.09,0
3811,0.08,18.05,0.7,1.83,0.01,3.79,0.31,0.05,0.52,0.51,0.51,0.125,10.07,1.59,0.002,42.23,2.38,0.04,0.31,0.01,0
5310,0.09,22.98,0.08,0.01,0.01,0.04,0.01,0.76,0.62,0.0,0.65,0.044,7.46,0.73,0.005,0.39,4.89,0.03,0.05,0.02,0
3278,0.1,15.57,0.32,2.98,0.03,0.86,0.39,0.76,0.24,0.28,0.007,0.027,4.16,1.86,0.001,26.04,3.75,0.07,0.02,0.06,0
4732,0.02,10.9,0.04,2.87,0.08,0.0,0.09,0.05,0.27,0.0,0.008,0.062,4.46,0.54,0.009,3.19,3.22,0.06,0.02,0.09,0
18,4.88,26.94,0.02,0.36,0.001,1.21,0.68,0.71,0.99,0.75,0.75,0.071,0.31,1.22,0.002,56.7,1.0,0.0,0.41,0.05,0
4117,0.03,16.08,0.05,0.8,0.01,0.45,0.0,0.1,0.25,0.02,0.0,0.083,6.22,0.29,0.009,4.46,0.22,0.02,0.01,0.0,0
7579,0.02,0.73,0.08,1.77,0.05,0.04,0.03,1.44,0.79,0.0,0.0,0.198,8.32,1.7,0.002,1.4,2.87,0.08,0.09,0.0,0
4410,0.01,3.82,0.07,0.3,0.0,0.36,0.08,0.01,0.61,0.01,0.001,0.117,11.98,0.06,0.004,0.47,0.72,0.02,0.03,0.06,0
6411,0.02,15.23,0.05,0.09,0.09,0.11,0.06,0.08,1.44,0.34,0.004,0.172,0.88,1.9,0.01,5.39,0.29,0.05,0.0,0.08,0
3226,0.03,16.55,0.42,2.65,0.07,1.86,0.04,1.75,0.76,0.26,0.003,0.092,14.2,1.15,0.01,37.81,2.66,0.05,0.27,0.04,0
6039,0.07,9.3,0.08,2.64,0.02,0.17,0.04,0.22,0.68,0.63,0.63,0.162,11.4,1.83,0.005,7.96,3.74,0.09,0.09,0.06,0
558,4.23,11.49,0.05,3.36,0.001,4.37,0.88,1.33,0.58,0.26,0.009,0.022,17.31,1.47,0.003,48.33,5.49,0.07,0.34,0.01,0
4060,0.05,13.13,0.03,0.59,0.09,0.3,0.1,0.08,1.47,0.05,0.008,0.123,5.54,0.57,0.009,2.83,2.88,0.03,0.01,0.05,0
3033,0.1,15.65,0.43,2.86,0.13,4.82,0.74,1.35,1.24,0.12,0.006,0.193,17.35,1.34,0.001,43.28,1.71,0.09,0.44,0.05,0
3412,0.09,16.12,0.13,1.78,0.05,4.37,0.71,0.08,1.44,0.34,0.004,0.172,1.33,2.12,0.01,37.65,6.66,0.05,0.45,0.08,0
265,2.32,2.1,0.05,2.69,0.009,3.47,0.4,1.71,1.4,0.95,0.95,0.025,9.35,1.76,0.007,13.09,6.07,0.04,0.19,0.08,1
1053,4.37,10.05,0.56,2.91,0.04,8.1,0.32,1.98,0.66,0.0,0.0,0.101,7.42,1.89,0.009,10.37,5.63,0.04,0.12,0.01,0
4327,0.04,11.62,0.09,0.3,0.1,0.05,0.01,0.02,1.45,0.0,0.84,0.14,4.52,0.32,0.0,1.16,0.12,0.04,0.01,0.05,0
4330,0.02,15.44,0.1,0.5,0.03,0.11,0.05,0.08,0.03,0.0,0.73,0.138,15.13,0.29,0.002,2.16,2.24,0.03,0.05,0.07,0
1718,0.5,12.11,0.15,3.06,0.12,5.28,0.84,0.99,0.62,0.72,0.72,0.076,15.81,2.17,0.004,26.52,1.06,0.06,0.4,0.02,0
498,4.13,29.64,0.03,4.0,0.006,1.3,0.79,1.82,0.44,0.14,0.001,0.022,14.61,1.76,0.007,31.63,1.54,0.03,0.2,0.06,0
7879,0.05,2.52,0.09,0.43,0.03,0.02,0.07,0.04,0.39,0.41,0.0,0.037,17.55,1.38,0.005,0.16,4.07,0.02,0.05,0.06,0
4100,0.1,28.95,0.05,1.75,0.07,0.09,0.07,0.07,1.42,0.0,1.0,0.082,11.3,0.71,0.006,2.85,0.66,0.0,0.03,0.05,0
5273,0.06,1.61,0.09,0.4,0.1,0.5,0.04,1.25,0.29,0.0,0.78,0.112,2.75,0.46,0.006,0.29,2.17,0.07,0.08,0.06,0
5079,0.09,14.35,0.04,1.53,0.06,0.5,0.05,1.3,0.5,0.1,0.008,0.036,2.65,0.51,0.008,0.01,0.28,0.01,0.04,0.02,1
6115,0.08,9.06,0.0,0.64,0.09,0.09,0.05,1.7,0.29,0.78,0.78,0.185,12.75,1.66,0.006,1.68,0.81,0.03,0.04,0.04,0
4626,0.08,25.11,0.04,0.97,0.06,0.08,0.07,0.09,0.31,0.0,0.004,0.17,18.09,0.75,0.003,0.12,1.88,0.06,0.03,0.07,0
2464,0.06,18.95,0.03,0.59,0.009,2.83,0.09,0.77,1.23,0.79,0.79,0.112,10.9,1.35,0.008,26.42,1.91,0.02,0.04,0.04,0
7941,0.01,10.4,0.09,0.85,0.03,0.03,0.09,0.09,1.25,0.75,0.0,0.076,8.11,1.49,0.008,0.44,7.52,0.01,0.07,0.08,0
7830,0.1,0.64,0.09,1.63,0.01,0.07,0.0,0.06,0.32,0.0,0.0,0.021,2.22,1.21,0.002,2.16,2.31,0.0,0.0,0.02,0
2773,0.09,22.57,0.02,2.95,0.005,1.39,0.68,0.77,0.49,0.11,0.003,0.075,18.75,1.44,0.004,14.49,7.3,0.08,0.04,0.04,0
5872,0.01,15.67,0.03,0.32,0.07,0.06,0.07,1.43,1.39,0.11,0.0,0.118,5.63,0.19,0.001,2.06,0.96,0.04,0.06,0.07,0
3232,0.06,7.24,0.84,1.13,0.05,4.69,0.23,0.77,0.68,0.05,0.008,0.092,14.85,2.01,0.004,2.62,0.34,0.06,0.34,0.0,0
220,0.11,2.97,0.01,1.35,0.007,7.41,0.23,1.44,0.17,0.99,0.99,0.096,14.55,1.77,0.008,59.74,4.17,0.08,0.18,0.03,0
461,4.39,15.46,0.03,0.54,0.007,3.99,0.19,0.28,1.16,0.85,0.85,0.005,10.61,1.2,0.005,33.56,1.46,0.09,0.23,0.08,1
3557,0.21,14.84,0.54,1.86,0.09,1.71,0.2,0.06,0.52,0.74,0.74,0.001,5.02,2.22,0.0,48.69,4.91,0.04,0.45,0.02,0
2107,0.01,9.61,0.02,1.32,0.007,2.89,0.69,0.16,0.87,0.67,0.67,0.18,11.22,1.65,0.003,28.47,7.28,0.07,0.12,0.01,0
853,4.55,29.14,0.02,3.83,0.004,5.66,0.34,1.95,1.18,0.0,0.0,0.075,0.44,1.12,0.005,21.86,4.88,0.08,0.04,0.01,1
3425,0.02,12.25,0.95,2.24,0.11,3.84,0.33,0.48,1.36,0.73,0.73,0.164,15.25,1.34,0.008,8.7,0.93,0.06,0.12,0.02,0
4977,0.1,7.79,0.1,0.42,0.0,0.05,0.05,1.22,0.78,0.0,0.007,0.082,17.53,0.05,0.006,3.5,0.21,0.04,0.04,0.01,0
6572,0.06,19.43,0.05,1.35,0.05,0.4,0.01,0.95,1.46,0.08,0.008,0.181,9.69,1.59,0.006,0.34,1.53,0.06,0.09,0.02,0
2320,0.11,21.4,0.05,0.81,0.003,6.49,0.82,1.97,0.85,0.56,0.56,0.096,18.43,1.53,0.003,47.74,6.2,0.02,0.21,0.03,0
7898,0.04,3.44,0.09,0.58,0.01,0.39,0.04,0.04,1.31,0.13,0.0,0.068,13.98,1.53,0.0,6.93,7.18,0.08,0.07,0.03,0
6658,0.09,26.12,0.08,0.03,0.01,0.59,0.06,1.57,1.17,0.62,0.62,0.09,18.01,1.0,0.002,4.69,2.76,0.08,0.09,0.02,0
7781,0.03,13.48,0.09,2.55,0.03,0.03,0.08,0.03,1.4,0.0,0.0,0.115,14.33,1.39,0.005,3.1,5.95,0.07,0.04,0.07,0
63,3.62,3.82,0.001,0.58,0.003,7.06,0.45,1.61,0.45,0.24,0.002,0.149,18.77,1.69,0.004,23.25,4.39,0.1,0.33,0.03,1
6586,0.01,6.82,0.06,0.4,0.05,0.42,0.08,1.87,1.14,0.41,0.001,0.033,2.76,1.68,0.001,0.15,1.28,0.08,0.0,0.05,0
5061,0.1,2.97,0.08,0.19,0.06,0.42,0.01,1.75,1.28,0.0,0.008,0.177,17.07,0.63,0.003,2.11,0.19,0.01,0.01,0.08,0
7416,0.02,11.78,0.06,1.84,0.06,0.35,0.06,1.54,0.64,0.26,0.006,0.2,15.3,2.03,0.003,1.66,1.0,0.09,0.07,0.04,0
1247,2.74,5.69,0.92,1.28,0.06,2.14,0.74,1.74,0.97,0.0,0.004,0.199,13.86,1.75,0.006,5.7,5.19,0.07,0.44,0.08,0
2926,0.27,12.27,0.02,1.37,0.004,4.13,0.1,1.73,0.8,0.93,0.93,0.174,16.88,1.45,0.006,28.73,6.87,0.05,0.13,0.07,0
7477,0.02,18.17,0.04,0.55,0.0,0.08,0.03,1.56,1.15,0.0,0.0,0.044,13.3,1.51,0.004,0.5,2.11,0.04,0.01,0.03,0
3281,0.05,18.54,0.52,1.67,0.06,2.18,0.76,1.72,1.07,0.96,0.96,0.119,11.31,2.11,0.005,17.9,2.18,0.02,0.15,0.02,0
6987,0.01,26.78,0.0,0.03,0.05,0.02,0.05,1.62,0.96,0.45,0.0,0.138,5.66,1.93,0.0,2.4,0.04,0.01,0.09,0.06,0
4174,0.06,7.61,0.04,1.52,0.06,0.18,0.02,0.02,0.74,0.05,0.003,0.075,4.26,0.12,0.003,2.55,6.94,0.05,0.04,0.0,0
4681,0.09,8.01,0.06,0.72,0.02,0.05,0.04,0.05,1.1,0.0,0.0,0.113,0.36,0.27,0.004,1.37,0.54,0.07,0.07,0.01,0
913,1.5,9.91,0.04,2.68,0.004,3.37,0.09,1.52,1.02,0.0,0.0,0.071,17.71,1.71,0.003,23.89,1.4,0.04,0.41,0.02,1
694,4.33,29.04,0.02,1.63,0.007,3.3,0.87,0.95,0.43,0.0,0.0,0.07,3.72,1.36,0.003,27.63,4.67,0.07,0.27,0.06,0
5514,0.07,5.41,0.09,0.1,0.02,0.02,0.09,0.04,0.6,0.0,0.009,0.016,2.85,0.25,0.002,8.45,1.31,0.05,0.05,0.08,1
1090,3.37,21.74,0.37,4.0,0.12,6.24,0.23,0.76,1.16,0.0,0.0,0.049,17.03,2.21,0.006,8.68,4.29,0.07,0.08,0.0,1
5960,0.08,10.69,0.08,0.83,0.02,0.12,0.01,1.21,0.75,0.38,0.007,0.008,15.16,0.15,0.004,0.05,0.72,0.02,0.0,0.09,0
2397,0.01,7.55,0.04,1.53,0.001,1.68,0.35,0.04,1.3,0.03,0.007,0.11,1.08,1.09,0.008,44.54,3.11,0.07,0.13,0.04,0
140,3.86,11.02,0.01,3.64,0.003,3.83,0.14,1.04,1.39,0.07,0.006,0.176,3.45,1.15,0.008,53.68,6.42,0.03,0.43,0.05,0
4085,0.05,8.52,0.03,1.9,0.08,0.04,0.03,0.09,0.68,0.0,0.006,0.127,15.08,0.6,0.006,0.65,1.99,0.0,0.05,0.01,0
6165,0.06,5.43,0.02,0.24,0.03,0.43,0.02,0.65,1.5,0.79,0.79,0.118,11.34,1.97,0.002,7.42,1.82,0.01,0.07,0.06,0
5811,0.03,27.99,0.08,0.11,0.04,0.1,0.04,0.83,0.59,0.85,0.85,0.025,1.58,1.1,0.001,6.73,5.71,0.03,0.0,0.08,0
6436,0.05,13.87,0.03,0.58,0.06,0.02,0.03,1.45,0.65,0.57,0.57,0.19,7.01,1.81,0.009,7.75,0.42,0.03,0.06,0.09,0
6962,0.07,17.69,0.1,0.23,0.05,0.02,0.03,0.93,0.94,0.92,0.92,0.011,0.42,1.77,0.004,2.39,0.15,0.0,0.04,0.07,0
3950,0.01,15.62,0.16,3.95,0.02,3.19,0.07,0.06,0.08,0.61,0.61,0.123,3.41,2.08,0.0,47.08,0.32,0.03,0.06,0.01,1
